================ Training Loss (Fri Jun  2 15:00:10 2023) ================
(epoch: 52, iters: 20, time: 0.199, data: 0.501) D_A: 0.160 G_A: 0.234 cycle_A: 4.660 idt_A: 0.338 D_B: 0.087 G_B: 0.827 cycle_B: 0.731 idt_B: 2.057 
(epoch: 53, iters: 40, time: 0.199, data: 0.002) D_A: 0.044 G_A: 0.565 cycle_A: 2.034 idt_A: 0.801 D_B: 0.195 G_B: 0.491 cycle_B: 1.511 idt_B: 0.601 
(epoch: 54, iters: 60, time: 0.199, data: 0.002) D_A: 0.385 G_A: 0.911 cycle_A: 1.528 idt_A: 0.730 D_B: 0.122 G_B: 0.512 cycle_B: 1.610 idt_B: 0.718 
(epoch: 55, iters: 80, time: 0.756, data: 0.002) D_A: 0.471 G_A: 0.835 cycle_A: 1.943 idt_A: 0.930 D_B: 0.257 G_B: 0.131 cycle_B: 1.703 idt_B: 0.457 
(epoch: 57, iters: 20, time: 0.199, data: 0.403) D_A: 0.225 G_A: 0.278 cycle_A: 1.450 idt_A: 1.472 D_B: 0.129 G_B: 0.078 cycle_B: 3.154 idt_B: 0.769 
(epoch: 58, iters: 40, time: 0.199, data: 0.002) D_A: 0.192 G_A: 0.057 cycle_A: 2.231 idt_A: 0.758 D_B: 0.177 G_B: 0.224 cycle_B: 1.464 idt_B: 1.234 
(epoch: 59, iters: 60, time: 0.199, data: 0.002) D_A: 0.439 G_A: 0.562 cycle_A: 0.996 idt_A: 0.775 D_B: 0.181 G_B: 0.408 cycle_B: 2.790 idt_B: 0.413 
(epoch: 60, iters: 80, time: 0.989, data: 0.002) D_A: 0.326 G_A: 0.202 cycle_A: 1.695 idt_A: 0.637 D_B: 0.657 G_B: 0.793 cycle_B: 1.330 idt_B: 0.744 
(epoch: 62, iters: 20, time: 0.199, data: 0.493) D_A: 0.119 G_A: 0.537 cycle_A: 0.795 idt_A: 1.063 D_B: 0.184 G_B: 0.507 cycle_B: 1.771 idt_B: 0.367 
(epoch: 63, iters: 40, time: 0.199, data: 0.002) D_A: 0.388 G_A: 0.845 cycle_A: 3.300 idt_A: 1.316 D_B: 0.199 G_B: 0.294 cycle_B: 2.342 idt_B: 2.388 
(epoch: 64, iters: 60, time: 0.198, data: 0.002) D_A: 0.085 G_A: 0.552 cycle_A: 2.314 idt_A: 0.581 D_B: 0.107 G_B: 0.554 cycle_B: 2.352 idt_B: 0.603 
(epoch: 65, iters: 80, time: 0.809, data: 0.002) D_A: 0.120 G_A: 0.588 cycle_A: 4.146 idt_A: 1.252 D_B: 0.073 G_B: 0.597 cycle_B: 1.901 idt_B: 1.863 
(epoch: 67, iters: 20, time: 0.199, data: 0.422) D_A: 0.322 G_A: 0.346 cycle_A: 0.787 idt_A: 1.203 D_B: 0.364 G_B: 0.292 cycle_B: 3.120 idt_B: 0.393 
(epoch: 68, iters: 40, time: 0.199, data: 0.002) D_A: 0.039 G_A: 0.741 cycle_A: 1.068 idt_A: 0.722 D_B: 0.465 G_B: 0.213 cycle_B: 1.739 idt_B: 0.531 
(epoch: 69, iters: 60, time: 0.199, data: 0.002) D_A: 0.221 G_A: 0.611 cycle_A: 1.245 idt_A: 0.621 D_B: 0.151 G_B: 0.406 cycle_B: 1.168 idt_B: 0.577 
(epoch: 70, iters: 80, time: 0.850, data: 0.002) D_A: 0.296 G_A: 0.117 cycle_A: 3.446 idt_A: 0.235 D_B: 0.218 G_B: 1.139 cycle_B: 0.703 idt_B: 1.722 
(epoch: 72, iters: 20, time: 0.199, data: 0.439) D_A: 0.367 G_A: 0.520 cycle_A: 1.032 idt_A: 0.666 D_B: 0.351 G_B: 0.390 cycle_B: 1.224 idt_B: 0.389 
(epoch: 73, iters: 40, time: 0.199, data: 0.001) D_A: 0.196 G_A: 0.602 cycle_A: 1.937 idt_A: 0.647 D_B: 0.079 G_B: 0.471 cycle_B: 1.318 idt_B: 0.409 
(epoch: 74, iters: 60, time: 0.199, data: 0.002) D_A: 0.229 G_A: 0.378 cycle_A: 1.268 idt_A: 0.814 D_B: 0.169 G_B: 0.527 cycle_B: 1.750 idt_B: 0.371 
(epoch: 75, iters: 80, time: 0.838, data: 0.002) D_A: 0.174 G_A: 0.572 cycle_A: 1.714 idt_A: 2.005 D_B: 0.183 G_B: 0.461 cycle_B: 5.497 idt_B: 0.608 
(epoch: 77, iters: 20, time: 0.199, data: 0.478) D_A: 0.181 G_A: 0.425 cycle_A: 3.433 idt_A: 0.891 D_B: 0.200 G_B: 0.349 cycle_B: 1.500 idt_B: 1.001 
(epoch: 78, iters: 40, time: 0.199, data: 0.002) D_A: 0.377 G_A: 0.868 cycle_A: 2.350 idt_A: 0.744 D_B: 0.253 G_B: 0.406 cycle_B: 1.195 idt_B: 0.719 
(epoch: 79, iters: 60, time: 0.199, data: 0.002) D_A: 0.159 G_A: 0.317 cycle_A: 2.701 idt_A: 0.865 D_B: 0.156 G_B: 0.761 cycle_B: 1.491 idt_B: 0.711 
(epoch: 80, iters: 80, time: 1.060, data: 0.002) D_A: 0.077 G_A: 0.687 cycle_A: 1.190 idt_A: 0.960 D_B: 0.133 G_B: 0.216 cycle_B: 1.976 idt_B: 0.397 
(epoch: 82, iters: 20, time: 0.199, data: 0.533) D_A: 0.079 G_A: 0.704 cycle_A: 1.301 idt_A: 0.449 D_B: 0.195 G_B: 1.049 cycle_B: 0.903 idt_B: 0.631 
(epoch: 83, iters: 40, time: 0.199, data: 0.002) D_A: 0.387 G_A: 0.958 cycle_A: 1.212 idt_A: 0.718 D_B: 0.340 G_B: 0.119 cycle_B: 1.420 idt_B: 0.563 
(epoch: 84, iters: 60, time: 0.199, data: 0.002) D_A: 0.104 G_A: 0.612 cycle_A: 1.542 idt_A: 0.574 D_B: 0.497 G_B: 0.728 cycle_B: 1.294 idt_B: 0.920 
(epoch: 85, iters: 80, time: 0.931, data: 0.002) D_A: 0.194 G_A: 0.487 cycle_A: 2.160 idt_A: 0.631 D_B: 0.334 G_B: 1.146 cycle_B: 1.264 idt_B: 0.588 
(epoch: 87, iters: 20, time: 0.199, data: 0.459) D_A: 0.129 G_A: 0.589 cycle_A: 1.947 idt_A: 0.701 D_B: 0.199 G_B: 0.445 cycle_B: 1.288 idt_B: 0.617 
(epoch: 88, iters: 40, time: 0.199, data: 0.001) D_A: 0.116 G_A: 0.089 cycle_A: 2.126 idt_A: 1.806 D_B: 0.553 G_B: 0.208 cycle_B: 3.119 idt_B: 0.699 
(epoch: 89, iters: 60, time: 0.199, data: 0.002) D_A: 0.157 G_A: 0.395 cycle_A: 3.653 idt_A: 1.385 D_B: 0.430 G_B: 0.483 cycle_B: 2.895 idt_B: 0.874 
(epoch: 90, iters: 80, time: 0.942, data: 0.001) D_A: 0.138 G_A: 0.245 cycle_A: 0.934 idt_A: 0.564 D_B: 0.094 G_B: 0.341 cycle_B: 0.905 idt_B: 0.232 
(epoch: 92, iters: 20, time: 0.198, data: 0.463) D_A: 0.258 G_A: 0.767 cycle_A: 2.225 idt_A: 0.248 D_B: 0.546 G_B: 0.026 cycle_B: 0.952 idt_B: 1.334 
(epoch: 93, iters: 40, time: 0.199, data: 0.002) D_A: 0.324 G_A: 1.323 cycle_A: 1.238 idt_A: 1.581 D_B: 0.371 G_B: 0.109 cycle_B: 3.158 idt_B: 0.822 
(epoch: 94, iters: 60, time: 0.199, data: 0.002) D_A: 0.122 G_A: 0.446 cycle_A: 1.700 idt_A: 0.522 D_B: 0.236 G_B: 0.984 cycle_B: 0.878 idt_B: 0.752 
(epoch: 95, iters: 80, time: 0.966, data: 0.002) D_A: 0.067 G_A: 0.424 cycle_A: 1.621 idt_A: 1.183 D_B: 0.092 G_B: 0.496 cycle_B: 1.846 idt_B: 0.378 
(epoch: 97, iters: 20, time: 0.199, data: 0.458) D_A: 0.162 G_A: 0.321 cycle_A: 2.892 idt_A: 0.772 D_B: 0.272 G_B: 0.393 cycle_B: 1.353 idt_B: 0.602 
