================ Training Loss (Thu May 25 06:05:14 2023) ================
(epoch: 57, iters: 20, time: 0.191, data: 0.399) D_A: 0.342 G_A: 0.862 cycle_A: 2.052 idt_A: 0.481 D_B: 0.248 G_B: 0.197 cycle_B: 1.394 idt_B: 1.051 
(epoch: 58, iters: 40, time: 0.189, data: 0.002) D_A: 0.282 G_A: 0.738 cycle_A: 1.045 idt_A: 0.741 D_B: 0.242 G_B: 0.159 cycle_B: 1.550 idt_B: 0.517 
(epoch: 59, iters: 60, time: 0.189, data: 0.002) D_A: 0.200 G_A: 0.767 cycle_A: 1.507 idt_A: 0.792 D_B: 0.134 G_B: 0.215 cycle_B: 1.527 idt_B: 0.569 
(epoch: 60, iters: 80, time: 0.923, data: 0.002) D_A: 0.079 G_A: 0.743 cycle_A: 1.294 idt_A: 0.496 D_B: 0.173 G_B: 0.491 cycle_B: 1.500 idt_B: 0.322 
(epoch: 62, iters: 20, time: 0.189, data: 0.376) D_A: 0.146 G_A: 0.367 cycle_A: 1.040 idt_A: 0.590 D_B: 0.099 G_B: 0.412 cycle_B: 1.412 idt_B: 0.500 
(epoch: 63, iters: 40, time: 0.189, data: 0.001) D_A: 0.128 G_A: 0.723 cycle_A: 1.223 idt_A: 0.821 D_B: 0.271 G_B: 1.578 cycle_B: 1.720 idt_B: 0.603 
(epoch: 64, iters: 60, time: 0.189, data: 0.002) D_A: 0.283 G_A: 0.582 cycle_A: 0.941 idt_A: 0.590 D_B: 0.097 G_B: 0.374 cycle_B: 1.084 idt_B: 0.388 
(epoch: 65, iters: 80, time: 0.754, data: 0.001) D_A: 0.192 G_A: 0.701 cycle_A: 1.176 idt_A: 0.997 D_B: 0.186 G_B: 0.346 cycle_B: 2.110 idt_B: 0.456 
(epoch: 67, iters: 20, time: 0.189, data: 0.377) D_A: 0.189 G_A: 0.348 cycle_A: 1.211 idt_A: 1.617 D_B: 0.166 G_B: 0.677 cycle_B: 3.363 idt_B: 0.455 
(epoch: 68, iters: 40, time: 0.189, data: 0.002) D_A: 0.158 G_A: 0.418 cycle_A: 1.172 idt_A: 0.512 D_B: 0.072 G_B: 0.492 cycle_B: 0.977 idt_B: 0.624 
(epoch: 69, iters: 60, time: 0.189, data: 0.001) D_A: 0.161 G_A: 0.703 cycle_A: 1.114 idt_A: 0.454 D_B: 0.070 G_B: 0.863 cycle_B: 1.245 idt_B: 0.528 
(epoch: 70, iters: 80, time: 0.813, data: 0.001) D_A: 0.130 G_A: 0.977 cycle_A: 1.082 idt_A: 0.242 D_B: 0.090 G_B: 0.503 cycle_B: 0.620 idt_B: 0.514 
(epoch: 72, iters: 20, time: 0.189, data: 0.419) D_A: 0.091 G_A: 0.492 cycle_A: 0.954 idt_A: 0.317 D_B: 0.078 G_B: 0.623 cycle_B: 0.785 idt_B: 0.504 
(epoch: 73, iters: 40, time: 0.190, data: 0.001) D_A: 0.202 G_A: 0.464 cycle_A: 1.330 idt_A: 0.611 D_B: 0.207 G_B: 0.586 cycle_B: 1.153 idt_B: 0.668 
(epoch: 74, iters: 60, time: 0.189, data: 0.001) D_A: 0.117 G_A: 0.390 cycle_A: 1.453 idt_A: 0.553 D_B: 0.126 G_B: 0.343 cycle_B: 1.552 idt_B: 0.696 
(epoch: 75, iters: 80, time: 0.844, data: 0.001) D_A: 0.124 G_A: 0.617 cycle_A: 1.429 idt_A: 0.499 D_B: 0.294 G_B: 0.383 cycle_B: 1.103 idt_B: 0.812 
(epoch: 77, iters: 20, time: 0.189, data: 0.377) D_A: 0.123 G_A: 0.517 cycle_A: 0.913 idt_A: 0.372 D_B: 0.268 G_B: 0.399 cycle_B: 1.055 idt_B: 0.332 
(epoch: 78, iters: 40, time: 0.189, data: 0.001) D_A: 0.237 G_A: 1.128 cycle_A: 1.315 idt_A: 0.859 D_B: 0.155 G_B: 0.264 cycle_B: 1.769 idt_B: 0.423 
(epoch: 79, iters: 60, time: 0.190, data: 0.002) D_A: 0.214 G_A: 0.169 cycle_A: 0.959 idt_A: 0.419 D_B: 0.155 G_B: 0.474 cycle_B: 1.009 idt_B: 0.438 
(epoch: 80, iters: 80, time: 1.040, data: 0.001) D_A: 0.393 G_A: 0.810 cycle_A: 1.041 idt_A: 0.410 D_B: 0.147 G_B: 0.179 cycle_B: 0.839 idt_B: 0.403 
(epoch: 82, iters: 20, time: 0.189, data: 0.378) D_A: 0.262 G_A: 1.296 cycle_A: 1.096 idt_A: 0.560 D_B: 0.273 G_B: 0.157 cycle_B: 1.135 idt_B: 0.450 
(epoch: 83, iters: 40, time: 0.189, data: 0.001) D_A: 0.082 G_A: 0.814 cycle_A: 1.330 idt_A: 0.359 D_B: 0.234 G_B: 0.062 cycle_B: 0.938 idt_B: 0.540 
(epoch: 84, iters: 60, time: 0.189, data: 0.002) D_A: 0.153 G_A: 0.332 cycle_A: 1.179 idt_A: 0.383 D_B: 0.208 G_B: 0.284 cycle_B: 0.908 idt_B: 0.572 
